"","mean_PM25","RR","Lower_CI","Upper_CI"
"463",65,1.02927860214989,1.0169001222088,1.04180776234198
"464",49,1.00457467240399,1.00265412288007,1.00649890067454
"465",48,1.00305051313035,1.0017704036658,1.00433225837914
"466",47,1.00152866633935,1.0008874633439,1.00217028011153
"467",47,1.00152866633935,1.0008874633439,1.00217028011153
"468",56,1.01530883267251,1.00886202415973,1.02179683744305
"469",48,1.00305051313035,1.0017704036658,1.00433225837914
"470",52,1.00916106028618,1.00530996075121,1.01302691245289
"471",62,1.02460078500645,1.01421366533364,1.03509428488175
"472",52,1.00916106028618,1.00530996075121,1.01302691245289
"473",48,1.00305051313035,1.0017704036658,1.00433225837914
"474",55,1.01376838733237,1.00797283342591,1.01959726400704
"475",80,1.05298999339454,1.03043952291891,1.07603396563069
